zp_m,df_hz
-3.8518471780630556e-07,-4.3074862787761958
-3.8515971810674725e-07,-4.274114928648487
-3.8513471840718893e-07,-4.2471668848520494
-3.8510971870763062e-07,-4.2204916894661437
-3.850847190080723e-07,-4.2101078179257456
-3.8505971930851398e-07,-4.1949732576540555
-3.8503471960895567e-07,-4.1904328895725484
-3.8500971990939735e-07,-4.1580065612834005
-3.8498472020983904e-07,-4.1425849417464633
-3.8495972051028072e-07,-4.1263277239522722
-3.8493472081072241e-07,-4.1143422890854708
-3.8490972111116409e-07,-4.0889247543418605
-3.8488472141160578e-07,-4.0872109252632072
-3.8485972171204746e-07,-4.063386427333171
-3.8483472201248915e-07,-4.0339884321838326
-3.8480972231293083e-07,-4.0070588624985248
-3.8478472261337251e-07,-4.020016319827846
-3.847597229138142e-07,-3.9985948774301505
-3.8473472321425588e-07,-3.9760763570484414
-3.8470972351469757e-07,-3.9544090668641729
-3.8468472381513925e-07,-3.9472084267799801
-3.8465972411558094e-07,-3.9257074035958794
-3.8463472441602262e-07,-3.9197473711283237
-3.8460972471646431e-07,-3.903411993633199
-3.8458472501690599e-07,-3.8680653347000771
-3.8455972531734768e-07,-3.844566265343019
-3.8453472561778936e-07,-3.8533030988219252
-3.8450972591823104e-07,-3.8406369640142657
-3.8448472621867273e-07,-3.8181056538633129
-3.8445972651911441e-07,-3.8062779594838503
-3.844347268195561e-07,-3.780898794047971
-3.8440972711999778e-07,-3.7734238844677748
-3.8438472742043947e-07,-3.7614526604556886
-3.8435972772088115e-07,-3.7485932580239023
-3.8433472802132284e-07,-3.7285531107045244
-3.8430972832176452e-07,-3.7046277157060103
-3.8428472862220621e-07,-3.6911373513248691
-3.8425972892264789e-07,-3.6858040175502538
-3.8423472922308957e-07,-3.6716016893478809
-3.8420972952353126e-07,-3.6508168932414264
-3.8418472982397294e-07,-3.6507373124550213
-3.8415973012441463e-07,-3.6265532799006905
-3.8413473042485631e-07,-3.6067746123080724
-3.84109730725298e-07,-3.6080791687709279
-3.8408473102573968e-07,-3.5773368267655314
-3.8405973132618137e-07,-3.5608536563813686
-3.8403473162662305e-07,-3.5563701317187224
-3.8400973192706474e-07,-3.5488710636855103
-3.8398473222750642e-07,-3.5325683711562306
-3.839597325279481e-07,-3.5096434203296667
-3.8393473282838979e-07,-3.4997540865333576
-3.8390973312883147e-07,-3.4848042673729651
-3.8388473342927316e-07,-3.4724635611382837
-3.8385973372971484e-07,-3.4633274026418803
-3.8383473403015653e-07,-3.4470303944544867
-3.8380973433059821e-07,-3.4458707887097262
-3.837847346310399e-07,-3.4159441497649823
-3.8375973493148158e-07,-3.4090376743733941
-3.8373473523192327e-07,-3.4043310392917192
-3.8370973553236495e-07,-3.3847157965283259
-3.8368473583280663e-07,-3.3771684115890821
-3.8365973613324832e-07,-3.3736739624146139
-3.8363473643369e-07,-3.3513700259391044
-3.8360973673413169e-07,-3.3450575642746117
-3.8358473703457337e-07,-3.3260121767852979
-3.8355973733501506e-07,-3.3170522328873631
-3.8353473763545674e-07,-3.3155430401166086
-3.8350973793589843e-07,-3.2986662290568347
-3.8348473823634011e-07,-3.2852241815817251
-3.834597385367818e-07,-3.246134383516619
-3.8343473883722348e-07,-3.2461755949952931
-3.8340973913766516e-07,-3.2308705044670205
-3.8338473943810685e-07,-3.235442136428901
-3.8335973973854853e-07,-3.2098938618219108
-3.8333474003899022e-07,-3.2250582648885029
-3.833097403394319e-07,-3.1994360938369937
-3.8328474063987359e-07,-3.1812248835194623
-3.8325974094031527e-07,-3.1799260113984928
-3.8323474124075696e-07,-3.1540764666715404
-3.8320974154119864e-07,-3.150070426727325
-3.8318474184164033e-07,-3.1274936418412835
-3.8315974214208201e-07,-3.1206738526634581
-3.8313474244252369e-07,-3.1245946274793823
-3.8310974274296538e-07,-3.100865342275938
-3.8308474304340706e-07,-3.0941862405597931
-3.8305974334384875e-07,-3.0776632797824277
-3.8303474364429043e-07,-3.0693527719449776
-3.8300974394473212e-07,-3.0552314456144813
-3.829847442451738e-07,-3.0278570761765877
-3.8295974454561549e-07,-3.0255677074819687
-3.8293474484605717e-07,-3.0188033406375325
-3.8290974514649886e-07,-3.0081039881224569
-3.8288474544694054e-07,-2.9881391583330696
-3.8285974574738222e-07,-2.9955373292978038
-3.8283474604782391e-07,-2.9847271321159496
-3.8280974634826559e-07,-2.9644141363860399
-3.8278474664870728e-07,-2.9657570621566265
-3.8275974694914896e-07,-2.9412163371489441
-3.8273474724959065e-07,-2.9420377245514828
-3.8270974755003233e-07,-2.9076971941321972
