zp_m,df_hz
-3.8650304789509292e-07,-3.6895301036565797
-3.8647804819553461e-07,-3.6852156881650444
-3.8645304849597629e-07,-3.6404870229489461
-3.8642804879641798e-07,-3.6465920061345969
-3.8640304909685966e-07,-3.6429440797292045
-3.8637804939730135e-07,-3.608680287925381
-3.8635304969774303e-07,-3.6152954407953075
-3.8632804999818472e-07,-3.5884667681784777
-3.863030502986264e-07,-3.5478834092828038
-3.8627805059906808e-07,-3.5664257325151993
-3.8625305089950977e-07,-3.5394421615819738
-3.8622805119995145e-07,-3.5485982152749784
-3.8620305150039314e-07,-3.5235117934462323
-3.8617805180083482e-07,-3.512059265631251
-3.8615305210127651e-07,-3.5006664234060736
-3.8612805240171819e-07,-3.4888543609667977
-3.8610305270215988e-07,-3.4688582672970369
-3.8607805300260156e-07,-3.4645594837456883
-3.8605305330304325e-07,-3.4471469234631513
-3.8602805360348493e-07,-3.4351145927757898
-3.8600305390392661e-07,-3.4368568435638736
-3.859780542043683e-07,-3.3993998727055441
-3.8595305450480998e-07,-3.397140346805827
-3.8592805480525167e-07,-3.3886507821989653
-3.8590305510569335e-07,-3.401716242024122
-3.8587805540613504e-07,-3.3702789892231522
-3.8585305570657672e-07,-3.3494188755867071
-3.8582805600701841e-07,-3.3374277563780197
-3.8580305630746009e-07,-3.3447889791204943
-3.8577805660790178e-07,-3.3169058610837965
-3.8575305690834346e-07,-3.3034737612069875
-3.8572805720878514e-07,-3.2841953157003445
-3.8570305750922683e-07,-3.2815350436976587
-3.8567805780966851e-07,-3.2757782264525304
-3.856530581101102e-07,-3.2634901003802952
-3.8562805841055188e-07,-3.2397025506725186
-3.8560305871099357e-07,-3.2299197982865735
-3.8557805901143525e-07,-3.2053961263045494
-3.8555305931187694e-07,-3.2080151868285611
-3.8552805961231862e-07,-3.1886358442534402
-3.8550305991276031e-07,-3.1718727200313879
-3.8547806021320199e-07,-3.1822821711102733
-3.8545306051364367e-07,-3.1512712439507595
-3.8542806081408536e-07,-3.1527719102086849
-3.8540306111452704e-07,-3.1165583891379356
-3.8537806141496873e-07,-3.145778748603334
-3.8535306171541041e-07,-3.112609192612581
-3.853280620158521e-07,-3.0847104426356964
-3.8530306231629378e-07,-3.1065241046235315
-3.8527806261673547e-07,-3.0795050065535179
-3.8525306291717715e-07,-3.072864274145104
-3.8522806321761884e-07,-3.0760546110286668
-3.8520306351806052e-07,-3.0678464213451662
-3.851780638185022e-07,-3.0351557711583155
-3.8515306411894389e-07,-3.0414341267714917
-3.8512806441938557e-07,-3.0228505920604221
-3.8510306471982726e-07,-3.0324912358992151
-3.8507806502026894e-07,-2.9910012244727113
-3.8505306532071063e-07,-3.0129527317512839
-3.8502806562115231e-07,-2.9702135861953138
-3.85003065921594e-07,-2.9624459330079844
-3.8497806622203568e-07,-2.9717995175815304
-3.8495306652247737e-07,-2.9512676746890065
-3.8492806682291905e-07,-2.9277899216140213
-3.8490306712336073e-07,-2.9115682309566182
-3.8487806742380242e-07,-2.9268861112541344
-3.848530677242441e-07,-2.9169513027227367
-3.8482806802468579e-07,-2.9080808872095076
-3.8480306832512747e-07,-2.8908061722177081
-3.8477806862556916e-07,-2.886612548991252
-3.8475306892601084e-07,-2.8761547810063348
-3.8472806922645253e-07,-2.8766791615453258
-3.8470306952689421e-07,-2.8765910542460915
-3.8467806982733589e-07,-2.8537016305563156
-3.8465307012777758e-07,-2.829810341609118
-3.8462807042821926e-07,-2.8434101295715664
-3.8460307072866095e-07,-2.7882123276867787
-3.8457807102910263e-07,-2.7686354542311165
-3.8455307132954432e-07,-2.787139408155781
-3.84528071629986e-07,-2.7871621455233253
-3.8450307193042769e-07,-2.7908043875868316
-3.8447807223086937e-07,-2.7636673394226818
-3.8445307253131106e-07,-2.7652390599541832
-3.8442807283175274e-07,-2.7490813181429985
-3.8440307313219442e-07,-2.7360258059161424
-3.8437807343263611e-07,-2.7006876734958496
-3.8435307373307779e-07,-2.7082108999820775
-3.8432807403351948e-07,-2.7092852405985468
-3.8430307433396116e-07,-2.6994726454176998
-3.8427807463440285e-07,-2.6925931706500705
-3.8425307493484453e-07,-2.6701243882598646
-3.8422807523528622e-07,-2.6681149734031351
-3.842030755357279e-07,-2.6460298840902396
-3.8417807583616959e-07,-2.646268626449455
-3.8415307613661127e-07,-2.655941955254093
-3.8412807643705295e-07,-2.620551242671354
-3.8410307673749464e-07,-2.6267969133186853
-3.8407807703793632e-07,-2.6441739464644343
-3.8405307733837801e-07,-2.620974726141867
-3.8402807763881969e-07,-2.5924606461558142
-3.8400307793926138e-07,-2.577077395926608
-3.8397807823970306e-07,-2.5752129317879735
-3.8395307854014475e-07,-2.5803572611948766
-3.8392807884058643e-07,-2.5683675630716607
-3.8390307914102812e-07,-2.5620977339713136
-3.838780794414698e-07,-2.5484609977866057
-3.8385307974191148e-07,-2.5402201231372601
-3.8382808004235317e-07,-2.5264697001148306
-3.8380308034279485e-07,-2.5525764613121282
-3.8377808064323654e-07,-2.5137069314951077
-3.8375308094367822e-07,-2.5025599370565033
-3.8372808124411991e-07,-2.4905332907110278
-3.8370308154456159e-07,-2.4859730274329195
-3.8367808184500328e-07,-2.4767288664406806
-3.8365308214544496e-07,-2.4735669512665481
-3.8362808244588665e-07,-2.4605597559457237
-3.8360308274632833e-07,-2.4523274078092072
-3.8357808304677001e-07,-2.4291935574183299
-3.835530833472117e-07,-2.431139023428841
-3.8352808364765338e-07,-2.4503222562088922
-3.8350308394809507e-07,-2.4103314899548423
-3.8347808424853675e-07,-2.4210223159570887
-3.8345308454897844e-07,-2.4075106352938747
-3.8342808484942012e-07,-2.4063822934294876
-3.8340308514986181e-07,-2.3848087948863395
-3.8337808545030349e-07,-2.4083675498332013
-3.8335308575074518e-07,-2.4033326440076053
-3.8332808605118686e-07,-2.3759795908517845
-3.8330308635162854e-07,-2.3804162196938705
-3.8327808665207023e-07,-2.3392459524984588
-3.8325308695251191e-07,-2.3420184902533947
-3.832280872529536e-07,-2.3232971102515876
-3.8320308755339528e-07,-2.3384629344036512
-3.8317808785383697e-07,-2.3383407210531004
-3.8315308815427865e-07,-2.3167928020484396
-3.8312808845472034e-07,-2.3127796566768666
-3.8310308875516202e-07,-2.3091644152373192
-3.8307808905560371e-07,-2.2906888830220851
-3.8305308935604539e-07,-2.2880698224980733
-3.8302808965648707e-07,-2.291245948526921
-3.8300308995692876e-07,-2.2730446858076903
-3.8297809025737044e-07,-2.2620014306085068
-3.8295309055781213e-07,-2.2478346295429219
-3.8292809085825381e-07,-2.2536084998137085
-3.829030911586955e-07,-2.239156060568348
-3.8287809145913718e-07,-2.243832852855121
-3.8285309175957887e-07,-2.2406965172194759
-3.8282809206002055e-07,-2.2370358010448399
-3.8280309236046224e-07,-2.2267883537097077
-3.8277809266090392e-07,-2.1869141164643224
